Pieza	Peso	Largo	Calibre	Calidad
57	3.92	0.635	2.7-4.0	Premium
58	3.9	0.6096	2.7-4.0	Premium
59	3.62	0.6096	2.7-4.0	Premium
60	3.525	0.6096	2.7-4.0	Premium
61	3.355	0.6096	2.7-4.0	Premium
62	3.715	0.6604	2.7-4.0	Premium
63	3.685	0.635	2.7-4.0	Premium
64	3.84	0.6096	2.7-4.0	Premium
65	3.35	0.635	2.7-4.0	Premium
66	3.22	0.5842	2.7-4.0	Premium
67	3.725	0.6096	2.7-4.0	Premium
68	3.865	0.6096	2.7-4.0	Premium
69	3.655	0.6604	2.7-4.0	Premium
70	3.7	0.5842	2.7-4.0	Premium
71	3.685	0.6096	2.7-4.0	Premium
72	3.975	0.635	2.7-4.0	Premium
73	3.715	0.6604	2.7-4.0	Premium
74	3.68	0.6858	2.7-4.0	Premium
75	3.41	0.5842	2.7-4.0	Premium
76	2.85	0.5842	2.7-4.0	Premium
77	3.755	0.6604	2.7-4.0	Premium
78	3.975	0.6604	2.7-4.0	Premium
79	2.985	0.6096	2.7-4.0	Premium
80	3.415	0.6096	2.7-4.0	Premium
81	3.575	0.635	2.7-4.0	Premium
82	3.89	0.635	2.7-4.0	Premium
83	3.945	0.6096	2.7-4.0	Premium
84	3.795	0.6604	2.7-4.0	Premium
85	3.67	0.6604	2.7-4.0	Premium
86	3.955	0.635	2.7-4.0	Premium
87	3.98	0.635	2.7-4.0	Premium
88	3.9	0.6604	2.7-4.0	Premium
89	3.965	0.6604	2.7-4.0	Premium
90	3.385	0.6604	2.7-4.0	Premium
91	3.22	0.6604	2.7-4.0	Premium
92	3.745	0.6604	2.7-4.0	Premium
93	3.795	0.6604	2.7-4.0	Premium
94	2.95	0.6096	2.7-4.0	Premium
95	3.89	0.635	2.7-4.0	Premium
96	3.28	0.635	2.7-4.0	Premium
97	3.735	0.6096	2.7-4.0	Premium
98	3.84	0.6096	2.7-4.0	Premium
99	3.815	0.635	2.7-4.0	Premium
100	3.83	0.5588	2.7-4.0	Premium
101	3.84	0.635	2.7-4.0	Premium
102	2.92	0.6096	2.7-4.0	Premium
103	3.98	0.6096	2.7-4.0	Premium
104	3.005	0.5588	2.7-4.0	Premium
105	3.745	0.6096	2.7-4.0	Premium
106	3.965	0.6604	2.7-4.0	Premium
107	3.39	0.6096	2.7-4.0	Premium
108	3.83	0.5842	2.7-4.0	Premium
109	3.32	0.6604	2.7-4.0	Premium
110	3.285	0.5842	2.7-4.0	Premium
111	2.85	0.5842	2.7-4.0	Premium
112	2.94	0.5842	2.7-4.0	Premium
113	2.925	0.5588	2.7-4.0	Premium
114	2.975	0.5588	2.7-4.0	Premium
115	3.97	0.6604	2.7-4.0	Premium
116	3.835	0.5842	2.7-4.0	Premium
117	3.555	0.6096	2.7-4.0	Premium
118	2.81	0.5588	2.7-4.0	Premium
119	3.955	0.635	2.7-4.0	Premium
120	3.765	0.6858	2.7-4.0	Premium
121	3.73	0.5588	2.7-4.0	Premium
122	3.69	0.635	2.7-4.0	Premium
123	4	0.635	2.7-4.0	Premium
124	3.835	0.635	2.7-4.0	Premium
125	3.84	0.6096	2.7-4.0	Premium
126	3.45	0.6096	2.7-4.0	Premium
127	3.26	0.5842	2.7-4.0	Premium
128	3.93	0.635	2.7-4.0	Premium
129	3.495	0.635	2.7-4.0	Premium
130	3.215	0.5588	2.7-4.0	Premium
131	2.875	0.5588	2.7-4.0	Premium
132	3.76	0.635	2.7-4.0	Premium
133	3.725	0.5842	2.7-4.0	Premium
134	3.065	0.635	2.7-4.0	Premium
135	3.62	0.6096	2.7-4.0	Premium
136	3.96	0.635	2.7-4.0	Premium
137	3.635	0.6096	2.7-4.0	Premium
138	3.905	0.635	2.7-4.0	Premium
139	3.53	0.6096	2.7-4.0	Premium
140	3.745	0.635	2.7-4.0	Premium
141	3.81	0.6096	2.7-4.0	Premium
142	3.195	0.6096	2.7-4.0	Premium
143	3.96	0.6858	2.7-4.0	Premium
144	3.765	0.6096	2.7-4.0	Premium
145	3.295	0.5842	2.7-4.0	Premium
146	3.855	0.6096	2.7-4.0	Premium
147	3.79	0.635	2.7-4.0	Premium
148	3.995	0.635	2.7-4.0	Premium
149	3.92	0.6096	2.7-4.0	Premium
150	3.68	0.6096	2.7-4.0	Premium
151	3.51	0.635	2.7-4.0	Premium
152	3.73	0.635	2.7-4.0	Premium
153	2.78	0.5588	2.7-4.0	Premium
154	3.81	0.5588	2.7-4.0	Premium
155	3.63	0.635	2.7-4.0	Premium
156	3.895	0.6096	2.7-4.0	Premium
157	3.955	0.6604	2.7-4.0	Premium
158	3.865	0.6604	2.7-4.0	Premium
159	3.985	0.6096	2.7-4.0	Premium
160	3.95	0.635	2.7-4.0	Premium
161	3.795	0.5842	2.7-4.0	Premium
162	3.1	0.5842	2.7-4.0	Premium
163	3.855	0.5588	2.7-4.0	Premium
164	3.79	0.6858	2.7-4.0	Premium
165	3.915	0.6604	2.7-4.0	Premium
166	3.935	0.635	2.7-4.0	Premium
167	3.795	0.6096	2.7-4.0	Premium
168	3.61	0.5842	2.7-4.0	Premium
169	3.365	0.6096	2.7-4.0	Premium
170	3.93	0.6858	2.7-4.0	Premium
171	3.49	0.6096	2.7-4.0	Premium
172	3.305	0.6096	2.7-4.0	Premium
173	3.645	0.635	2.7-4.0	Premium
174	3.68	0.6604	2.7-4.0	Premium
175	3.325	0.6096	2.7-4.0	Premium
176	3.995	0.635	2.7-4.0	Premium
177	3.415	0.5842	2.7-4.0	Premium
178	4	0.6096	2.7-4.0	Premium
179	2.9	0.635	2.7-4.0	Premium
180	3.665	0.635	2.7-4.0	Premium
181	3.705	0.635	2.7-4.0	Premium
182	3.67	0.635	2.7-4.0	Premium
183	3.51	0.6096	2.7-4.0	Premium
184	3.72	0.635	2.7-4.0	Premium
185	3.94	0.6604	2.7-4.0	Premium
186	3.245	0.5588	2.7-4.0	Premium
187	3.56	0.6096	2.7-4.0	Premium
188	3.37	0.6096	2.7-4.0	Premium
189	3.66	0.6096	2.7-4.0	Premium
190	3.875	0.6604	2.7-4.0	Premium
191	3.735	0.6096	2.7-4.0	Premium
192	3.825	0.6096	2.7-4.0	Premium
193	3.5	0.5588	2.7-4.0	Premium
194	3.715	0.5842	2.7-4.0	Premium
195	3.62	0.6096	2.7-4.0	Premium
196	3.185	0.5842	2.7-4.0	Premium
197	3.86	0.635	2.7-4.0	Premium
198	3.86	0.6096	2.7-4.0	Premium
199	3.275	0.5842	2.7-4.0	Premium
200	3.025	0.5588	2.7-4.0	Premium
201	3.945	0.4826	2.7-4.0	Premium
202	3.92	0.5842	2.7-4.0	Premium
203	3.775	0.6096	2.7-4.0	Premium
204	3.365	0.635	2.7-4.0	Premium
205	3.32	0.5842	2.7-4.0	Premium
206	3.325	0.635	2.7-4.0	Premium
207	3.65	0.5842	2.7-4.0	Premium
208	3.955	0.635	2.7-4.0	Premium
209	2.86	0.5588	2.7-4.0	Premium
210	3.37	0.635	2.7-4.0	Premium
211	3.765	0.6096	2.7-4.0	Premium
212	3.875	0.635	2.7-4.0	Premium
213	3.93	0.635	2.7-4.0	Premium
214	3.915	0.6096	2.7-4.0	Premium
215	3.935	0.6858	2.7-4.0	Premium
216	3.8	0.6096	2.7-4.0	Premium
217	3.965	0.6604	2.7-4.0	Premium
218	3.38	0.635	2.7-4.0	Premium
219	3.665	0.5842	2.7-4.0	Premium
220	3.905	0.6604	2.7-4.0	Premium
221	3.79	0.635	2.7-4.0	Premium
222	2.96	0.6096	2.7-4.0	Premium
223	3.6	0.6096	2.7-4.0	Premium
224	3.7	0.6096	2.7-4.0	Premium
225	3.6	0.508	2.7-4.0	Premium
226	3.7	0.6096	2.7-4.0	Premium
227	3.35	0.5842	2.7-4.0	Premium
228	2.935	0.5334	2.7-4.0	Premium
229	3.315	0.5588	2.7-4.0	Premium
230	3.26	0.5588	2.7-4.0	Premium
231	2.965	0.6096	2.7-4.0	Premium
232	3.985	0.635	2.7-4.0	Premium
233	2.865	0.6604	2.7-4.0	Premium
234	3.96	0.6096	2.7-4.0	Premium
235	3.95	0.635	2.7-4.0	Premium
236	3.33	0.5842	2.7-4.0	Premium
237	3.82	0.5842	2.7-4.0	Premium
238	3.9	0.635	2.7-4.0	Premium
239	3.395	0.5588	2.7-4.0	Premium
240	3.925	0.635	2.7-4.0	Premium
241	3.88	0.5842	2.7-4.0	Premium
242	3.96	0.6096	2.7-4.0	Premium
243	3.475	0.6096	2.7-4.0	Premium
244	3.46	0.6096	2.7-4.0	Premium
245	3.455	0.6096	2.7-4.0	Premium
246	3.875	0.635	2.7-4.0	Premium
247	3.58	0.635	2.7-4.0	Premium
248	3.63	0.5588	2.7-4.0	Premium
249	3.7	0.635	2.7-4.0	Premium
250	3.04	0.6096	2.7-4.0	Premium
251	3.75	0.635	2.7-4.0	Premium
252	3.655	0.635	2.7-4.0	Premium
253	2.97	0.5588	2.7-4.0	Premium
254	3.145	0.5842	2.7-4.0	Premium
255	3.665	0.6096	2.7-4.0	Premium
256	3.745	0.6604	2.7-4.0	Premium
257	3.63	0.635	2.7-4.0	Premium
258	3.01	0.5842	2.7-4.0	Premium
259	3.8		2.7-4.2	Industrial B
260	3.6		2.7-4.2	Industrial B
261	4.05		2.7-4.2	Industrial B
262	3.7		2.7-4.2	Industrial B
263	3.65		2.7-4.2	Industrial B
264	3.45		2.7-4.2	Industrial B
265	3.8		2.7-4.2	Industrial B
266	3.5		2.7-4.2	Industrial B
267	3.35		2.7-4.2	Industrial B
268	3.25		2.7-4.2	Industrial B
269	3.55		2.7-4.2	Industrial B
270	3.1		2.7-4.2	Industrial B
271	3.9		2.7-4.2	Industrial B
272	3		2.7-4.2	Industrial B
273	3.6		2.7-4.2	Industrial B
274	2.75		2.7-4.2	Industrial B
275	4.165	0.6604	2.7-4.2	Standard
276	4.015	0.6604	2.7-4.2	Standard
277	3.275	0.6096	2.7-4.2	Standard
278	3.94	0.5842	2.7-4.2	Standard
279	3.835	0.6096	2.7-4.2	Standard
280	3.62	0.5842	2.7-4.2	Standard
281	4.155	0.6604	2.7-4.2	Standard
282	3.28	0.5842	2.7-4.2	Standard
283	4.185	0.6096	2.7-4.2	Standard
284	4.065	0.6604	2.7-4.2	Standard
285	4.12	0.635	2.7-4.2	Standard
286	3.91	0.6096	2.7-4.2	Standard
287	3.915	0.6096	2.7-4.2	Standard
288	4.04	0.6604	2.7-4.2	Standard
289	4.11	0.6604	2.7-4.2	Standard
290	3.975	0.635	2.7-4.2	Standard
291	3.88	0.635	2.7-4.2	Standard
292	3.955	0.5842	2.7-4.2	Standard
293	3.105	0.635	2.7-4.2	Standard
294	3.55	0.635	2.7-4.2	Standard
295	4.03	0.635	2.7-4.2	Standard
296	3.665	0.5334	2.7-4.2	Standard
297	4.045	0.5842	2.7-4.2	Standard
298	4.195	0.635	2.7-4.2	Standard
299	4.03	0.635	2.7-4.2	Standard
300	3.74	0.6096	2.7-4.2	Standard
301	4.18	0.635	2.7-4.2	Standard
302	3.45	0.635	2.7-4.2	Standard
303	3.075	0.5842	2.7-4.2	Standard
304	2.935	0.635	2.7-4.2	Standard
305	4.04	0.6096	2.7-4.2	Standard
306	3.94	0.635	2.7-4.2	Standard
307	4.155	0.6604	2.7-4.2	Standard
308	3.875	0.6604	2.7-4.2	Standard
309	4.2	0.5842	2.7-4.2	Standard
310	3.66	0.635	2.7-4.2	Standard
311	4.075	0.6604	2.7-4.2	Standard
312	4.075	0.6604	2.7-4.2	Standard
313	4.03	0.5588	2.7-4.2	Standard
314	3.435	0.5842	2.7-4.2	Standard
315	3.8	0.635	2.7-4.2	Standard
316	4.09	0.6604	2.7-4.2	Standard
317	3.455	0.635	2.7-4.2	Standard
318	3.665	0.6096	2.7-4.2	Standard
319	4.095	0.6604	2.7-4.2	Standard
320	3.465	0.5334	2.7-4.2	Standard
321	4.125	0.6604	2.7-4.2	Standard
322	3.79	0.635	2.7-4.2	Standard
323	3.565	0.6604	2.7-4.2	Standard
324	3.575	0.6096	2.7-4.2	Standard
325	3.775	0.5842	2.7-4.2	Standard
326	3.775	0.6096	2.7-4.2	Standard
327	3.925	0.635	2.7-4.2	Standard
328	3.97	0.635	2.7-4.2	Standard
329	4.015	0.635	2.7-4.2	Standard
330	4.105	0.635	2.7-4.2	Standard
331	3.5	0.6096	2.7-4.2	Standard
332	4.175	0.6096	2.7-4.2	Standard
333	2.965	0.5334	2.7-4.2	Standard
334	3.9	0.6858	2.7-4.2	Standard
335	3.88	0.5842	2.7-4.2	Standard
336	3.465	0.635	2.7-4.2	Standard
337	4.015	0.635	2.7-4.2	Standard
338	2.84	0.5842	2.7-4.2	Standard
339	4.1	0.6858	2.7-4.2	Standard
340	3.725	0.6604	2.7-4.2	Standard
341	3.775	0.5334	2.7-4.2	Standard
342	3.465	0.6096	2.7-4.2	Standard
343	4.025	0.6096	2.7-4.2	Standard
344	2.895	0.5842	2.7-4.2	Standard
345	3.545	0.6604	2.7-4.2	Standard
346	2.91	0.6096	2.7-4.2	Standard
347	2.92	0.4572	2.7-4.2	Standard
348	2.795	0.5334	2.7-4.2	Standard
349	3.21	0.5588	2.7-4.2	Standard
350	4.01	0.635	2.7-4.2	Standard
351	4.195	0.635	2.7-4.2	Standard
352	3.74	0.6096	2.7-4.2	Standard
353	2.15		2-3	Industrial B
354	2.7		2-3	Industrial B
355	2.7		2-3	Industrial B
356	2.25		2-3	Industrial B
357	2.6		2-3	Industrial B
358	2.05		2-3	Industrial B
359	2.35		2-3	Industrial B
360	2.1		2-3	Industrial B
361	2.55		2-3	Industrial B
362	2.5		2-3	Industrial B
363	2.25		2-3	Industrial B
364	2.945	0.5842	2-3	Premium
365	2.65	0.5842	2-3	Premium
366	2.93	0.5842	2-3	Premium
367	2.81	0.5842	2-3	Premium
368	2.96	0.5842	2-3	Premium
369	2.545	0.5334	2-3	Premium
370	2.93	0.5588	2-3	Premium
371	2.785	0.5842	2-3	Premium
372	2.775	0.5588	2-3	Premium
373	2.53	0.5842	2-3	Premium
374	2.735	0.5842	2-3	Premium
375	2.95	0.5842	2-3	Premium
376	2.82	0.6096	2-3	Premium
377	2.565	0.5588	2-3	Premium
378	2.81	0.5842	2-3	Premium
379	2.16	0.5588	2-3	Premium
380	3	0.5588	2-3	Premium
381	2.96	0.5588	2-3	Premium
382	2.94	0.6096	2-3	Premium
383	2.525	0.5588	2-3	Premium
384	2.585	0.5842	2-3	Premium
385	2.915	0.5334	2-3	Premium
386	2.96	0.5588	2-3	Premium
387	2.785	0.5842	2-3	Premium
388	2.22	0.4572	2-3	Premium
389	2.84	0.5334	2-3	Premium
390	2.98	0.6096	2-3	Premium
391	2.715	0.5334	2-3	Premium
392	2.075	0.4826	2-3	Premium
393	2.755	0.5588	2-3	Premium
394	2.785	0.5842	2-3	Premium
395	2.625	0.6096	2-3	Premium
396	2.72	0.5588	2-3	Premium
397	2.99	0.635	2-3	Premium
398	2.91	0.5842	2-3	Premium
399	2.045	0.508	2-3	Premium
400	2.885	0.5842	2-3	Premium
401	2.82	0.5842	2-3	Premium
402	2.98	0.6096	2-3	Premium
403	2.295	0.508	2-3	Premium
404	2.79	0.5842	2-3	Premium
405	2.845	0.5588	2-3	Premium
406	2.89	0.5334	2-3	Premium
407	2.965	0.5588	2-3	Premium
408	2.765	0.5588	2-3	Premium
409	2.69	0.5588	2-3	Premium
410	2.775	0.5334	2-3	Premium
411	2.695	0.5588	2-3	Premium
412	2.865	0.5334	2-3	Premium
413	2.57	0.5334	2-3	Premium
414	2.925	0.5842	2-3	Premium
415	2.905	0.5588	2-3	Premium
416	2.895	0.6096	2-3	Premium
417	2.715	0.6096	2-3	Premium
418	2.825	0.6096	2-3	Premium
419	2.77	0.5588	2-3	Premium
420	2.82	0.5334	2-3	Premium
421	2.25		2-3	Premium
422	2.3		2-3	Premium
423	2.65		2-3	Premium
424	2.25		2-3	Premium
425	2.05		2-3	Premium
426	2.7		2-3	Premium
427	2.5		2-3	Premium
428	2.3		2-3	Premium
429	2.665	0.6096	2-3	Premium
430	2.21	0.5588	2-3	Premium
431	2.37	0.5588	2-3	Premium
432	2.075	0.4826	2-3	Premium
433	2.51	0.5842	2-3	Premium
434	3.71	0.635	3-4	Premium
435	3.275	0.5842	3-4	Premium
436	3.14	0.6096	3-4	Premium
437	3.28	0.6096	3-4	Premium
438	3.915	0.635	3-4	Premium
439	3.545	0.6096	3-4	Premium
440	3.7	0.6096	3-4	Premium
441	3.67	0.5842	3-4	Premium
442	3.78	0.635	3-4	Premium
443	3.295	0.5842	3-4	Premium
444	3.15	0.6096	3-4	Premium
445	3.39	0.5842	3-4	Premium
446	3.58	0.6604	3-4	Premium
447	3.56	0.6096	3-4	Premium
448	3.385	0.6096	3-4	Premium
449	3.15	0.5334	3-4	Premium
450	3.72	0.635	3-4	Premium
451	3.92	0.6096	3-4	Premium
452	3.84	0.635	3-4	Premium
453	3.145	0.5842	3-4	Premium
454	3.9	0.635	3-4	Premium
455	3.385	0.635	3-4	Premium
456	3.72	0.635	3-4	Premium
457	3.545	0.635	3-4	Premium
458	3.95		3-4	Premium
459	3.6		3-4	Premium
460	3.85		3-4	Premium
461	3.55		3-4	Premium
462	3.15		3-4	Premium
463	3.84	0.635	3-4	Premium
464	3.56	0.635	3-4	Premium
465	3.89	0.635	3-4	Premium
466	3.62	0.635	3-4	Premium
467	3.55		3-4	Premium
468	3.65		3-4	Premium
469	3.1		3-4	Premium
470	3.5		3-4	Premium
471	3.95		3-4	Premium
472	4		3-4	Premium
473	3.05		3-4	Premium
474	3.43	0.5588	3-4	Premium
475	3.55		3-4	Premium
476	3.055	0.5842	3-4	Premium
477	3.63	0.635	3-4	Premium
478	3.26	0.6096	3-4	Premium
479	3.81	0.635	3-4	Premium
480	3.75		3-4	Premium
481	3.78	0.635	3-4	Premium
482	3.575	0.6096	3-4	Premium
483	3.435	0.5842	3-4	Premium
484	3.355	0.635	3-4	Premium
485	3.25		3-4	Premium
486	3.85		3-4	Premium
487	3.65	0.6096	3-4	Premium
488	3.975	0.635	3-4	Premium
489	3.72	0.6096	3-4	Premium
490	3.3		3-4	Premium
491	3.565	0.6096	3-4	Premium
492	3.85		3-4	Premium
493	3.235	0.5842	3-4	Premium
494	3.55		3-4	Premium
495	3.985	0.6604	3-4	Premium
496	3.9		3-4	Premium
497	3.92	0.635	3-4	Premium
498	3.7		3-4	Premium
499	3.63	0.5842	3-4	Premium
500	3.3		3-4	Premium
501	3.65	0.6096	3-4	Premium
502	3.93	0.635	3-4	Premium
503	3.02	0.5842	3-4	Premium
504	3.675	0.635	3-4	Premium
505	3.4		3-4	Premium
506	3.78	0.5842	3-4	Premium
507	3.91	0.635	3-4	Premium
508	3.595	0.635	3-4	Premium
509	3.78	0.635	3-4	Premium
510	3.1		3-4	Premium
511	3.905	0.635	3-4	Premium
512	3.85		3-4	Premium
513	3.95		3-4	Premium
514	3.675	0.6604	3-4	Premium
515	3.89	0.6604	3-4	Premium
516	3.235	0.5842	3-4	Premium
517	3.615	0.6096	3-4	Premium
518	3.095	0.6096	3-4	Premium
519	3.45		3-4	Premium
520	3.435	0.5588	3-4	Premium
521	3.7		3-4	Premium
522	3.7		3-4	Premium
523	3.85		3-4	Premium
524	3.77	0.635	3-4	Premium
525	3.425	0.6096	3-4	Premium
526	3.855	0.6604	3-4	Premium
527	3.08	0.6096	3-4	Premium
528	3.965	0.6604	3-4	Premium
529	3.985	0.6096	3-4	Premium
530	3.81	0.635	3-4	Premium
531	3.875	0.6096	3-4	Premium
532	3.155	0.6096	3-4	Premium
533	3.795	0.6604	3-4	Premium
534	3.55		3-4	Premium
535	3.8		3-4	Premium
536	3.5		3-4	Premium
537	3.4		3-4	Premium
538	3.905	0.635	3-4	Premium
539	3.62	0.6604	3-4	Premium
540	4		3-4	Premium
541	3.85		3-4	Premium
542	3.8		3-4	Premium
543	4		3-4	Premium
544	3.8	0.6604	3-4	Premium
545	3.99	0.635	3-4	Premium
546	4		3-4	Premium
547	3.85		3-4	Premium
548	3.59	0.6604	3-4	Premium
549	3.665	0.635	3-4	Premium
550	3.385	0.6096	3-4	Premium
551	3.085	0.5842	3-4	Premium
552	3.085	0.5588	3-4	Premium
553	3.51	0.6096	3-4	Premium
554	3.925	0.635	3-4	Premium
555	3.25	0.5842	3-4	Premium
556	3.365	0.635	3-4	Premium
557	3.24	0.6096	3-4	Premium
558	3.67	0.6604	3-4	Premium
559	3.795	0.6604	3-4	Premium
560	3.935	0.6096	3-4	Premium
561	4		3-4	Premium
562	3.46	0.5842	3-4	Premium
563	3.89	0.6604	3-4	Premium
564	3.5		3-4	Premium
565	3.015	0.5842	3-4	Premium
566	3.205	0.6096	3-4	Premium
567	3.895	0.6604	3-4	Premium
568	3.105	0.5588	3-4	Premium
569	3.395	0.5588	3-4	Premium
570	3.355	0.6096	3-4	Premium
571	3.795	0.635	3-4	Premium
572	3.875	0.6604	3-4	Premium
573	3.69	0.635	3-4	Premium
574	3.425	0.5588	3-4	Premium
575	3.945	0.635	3-4	Premium
576	3.84	0.6096	3-4	Premium
577	3.79	0.6096	3-4	Premium
578	3.75		3-4	Premium
579	3.92	0.6096	3-4	Premium
580	3.85		3-4	Premium
581	3.145	0.5588	3-4	Premium
582	3.375	0.635	3-4	Premium
583	3.965	0.635	3-4	Premium
584	3.95		3-4	Premium
585	3.31	0.5842	3-4	Premium
586	3.3	0.6096	3-4	Premium
587	4		3-4	Premium
588	3.27	0.6096	3-4	Premium
589	3.935	0.635	3-4	Premium
590	3.9		3-4	Premium
591	3.825	0.635	3-4	Premium
592	3.4		3-4	Premium
593	3.95		3-4	Premium
594	3.92	0.635	3-4	Premium
595	3.95		3-4	Premium
596	3.85		3-4	Premium
597	3.915	0.635	3-4	Premium
598	3.25		3-4	Premium
599	3.95		3-4	Premium
600	3.89	0.635	3-4	Premium
601	3.945	0.5842	3-4	Premium
602	3.9		3-4	Premium
603	3.7		3-4	Premium
604	3.15		3-4	Premium
605	3.055	0.6096	3-4	Premium
606	3.935	0.6858	3-4	Premium
607	3.85		3-4	Premium
608	3.99	0.6096	3-4	Premium
609	3.31	0.6096	3-4	Premium
610	3.8		3-4	Premium
611	3.2		3-4	Premium
612	3.91	0.5842	3-4	Premium
613	3.45		3-4	Premium
614	3.65		3-4	Premium
615	3.75		3-4	Premium
616	3.16	0.5842	3-4	Premium
617	3.6		3-4	Premium
618	3.945	0.6604	3-4	Premium
619	3.5		3-4	Premium
620	3.995	0.5588	3-4	Premium
621	3.35		3-4	Premium
622	3.825	0.5842	3-4	Premium
623	3.425	0.5588	3-4	Premium
624	3.84	0.6604	3-4	Premium
625	3.8		3-4	Premium
626	3.8		3-4	Premium
627	3.72	0.6096	3-4	Premium
628	3.975	0.635	3-4	Premium
629	3.725	0.6096	3-4	Premium
630	3.95		3-4	Premium
631	3.99	0.6604	3-4	Premium
632	3.23	0.5842	3-4	Premium
633	3.57	0.5842	3-4	Premium
634	3.545	0.6096	3-4	Premium
635	3.685	0.6096	3-4	Premium
636	3.98	0.6096	3-4	Premium
637	3.83	0.635	3-4	Premium
638	3.825	0.6096	3-4	Premium
639	3.39	0.635	3-4	Premium
640	3.75		3-4	Premium
641	3.55		3-4	Premium
642	3.625	0.5588	3-4	Premium
643	3.595	0.6096	3-4	Premium
644	3.825	0.6096	3-4	Premium
645	3.72	0.6604	3-4	Premium
646	3.93	0.6096	3-4	Premium
647	3.53	0.5842	3-4	Premium
648	3.5		3-4	Premium
649	3.85		3-4	Premium
650	3.555	0.6096	3-4	Premium
651	3.52	0.6604	3-4	Premium
652	3.86	0.635	3-4	Premium
653	3.055	0.5842	3-4	Premium
654	3.695	0.5842	3-4	Premium
655	3.91	0.635	3-4	Premium
656	3.75		3-4	Premium
657	3.915	0.6096	3-4	Premium
658	3.9		3-4	Premium
659	3.85		3-4	Premium
660	3.6	0.6096	3-4	Premium
661	3.6	0.6604	3-4	Premium
662	3.65		3-4	Premium
663	3.6		3-4	Premium
664	3.585	0.6096	3-4	Premium
665	3.875	0.6096	3-4	Premium
666	3.79	0.6096	3-4	Premium
667	3.6		3-4	Premium
668	3.785	0.635	3-4	Premium
669	3.7	0.635	3-4	Premium
670	3.94	0.6096	3-4	Premium
671	3.845	0.5588	3-4	Premium
672	3.79	0.6096	3-4	Premium
673	3.185	0.5842	3-4	Premium
674	3.665	0.635	3-4	Premium
675	3.29	0.6096	3-4	Premium
676	3.6	0.635	3-4	Premium
677	3.665	0.6604	3-4	Premium
678	3.98	0.635	3-4	Premium
679	3.895	0.635	3-4	Premium
680	3.54	0.6096	3-4	Premium
681	3.43	0.6096	3-4	Premium
682	3.61	0.6604	3-4	Premium
683	3.95		3-4	Premium
684	3.55		3-4	Premium
685	3.435	0.6096	3-4	Premium
686	3.55		3-4	Premium
687	3.57	0.6604	3-4	Premium
688	3.7		3-4	Premium
689	3.88	0.6096	3-4	Premium
690	3.6		3-4	Premium
691	3.89	0.6604	3-4	Premium
692	3.55	0.635	3-4	Premium
693	3.9		3-4	Premium
694	3.25		3-4	Premium
695	3.975	0.6858	3-4	Premium
696	3.95		3-4	Premium
697	3.85		3-4	Premium
698	3.85		3-4	Premium
699	3.25	0.6096	3-4	Premium
